2025-10-29 17:09:11.945 | INFO     | aws_read:list_files:11 | Total files available in folder sales_data/ of bucket relmart-sales-project: {'ResponseMetadata': {'RequestId': 'BTA70CMWYZ7W3E2A', 'HostId': 'PUC8DHTP8LSnLzs8HO1N5B+Ughqgqu9HRSdqWZpPcoJuzgFimkhdSLYN5tpAZovKWNbBWw6E0lb2AIzzSXTQmxrBI7vT/1K648yXBemqjDY=', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amz-id-2': 'PUC8DHTP8LSnLzs8HO1N5B+Ughqgqu9HRSdqWZpPcoJuzgFimkhdSLYN5tpAZovKWNbBWw6E0lb2AIzzSXTQmxrBI7vT/1K648yXBemqjDY=', 'x-amz-request-id': 'BTA70CMWYZ7W3E2A', 'date': 'Wed, 29 Oct 2025 11:39:12 GMT', 'x-amz-bucket-region': 'us-east-1', 'content-type': 'application/xml', 'transfer-encoding': 'chunked', 'server': 'AmazonS3'}, 'RetryAttempts': 0}, 'IsTruncated': False, 'Contents': [{'Key': 'sales_data/', 'LastModified': datetime.datetime(2025, 10, 29, 10, 37, 6, tzinfo=tzutc()), 'ETag': '"d41d8cd98f00b204e9800998ecf8427e"', 'ChecksumAlgorithm': ['CRC64NVME'], 'ChecksumType': 'FULL_OBJECT', 'Size': 0, 'StorageClass': 'STANDARD'}], 'Name': 'relmart-sales-project', 'Prefix': 'sales_data/', 'MaxKeys': 1000, 'EncodingType': 'url', 'KeyCount': 1}
2025-10-29 17:09:11.945 | INFO     | main:main:78 | Absolute path on s3 bucket for csv file: []
2025-10-29 17:09:11.945 | WARNING  | main:main:81 | No files available at sales_data/
2025-10-29 17:09:11.946 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 17:14:13.766 | INFO     | main:main:22 | List of Buckets: [{'Name': 'cf-templates-18q59xtalocg0-eu-north-1', 'CreationDate': datetime.datetime(2025, 6, 19, 9, 48, 28, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-eu-north-1'}, {'Name': 'cf-templates-18q59xtalocg0-us-east-1', 'CreationDate': datetime.datetime(2025, 6, 19, 10, 3, 16, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-us-east-1'}, {'Name': 'nitesh-staticwebsitehosting', 'CreationDate': datetime.datetime(2025, 5, 13, 8, 50, 37, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::nitesh-staticwebsitehosting'}, {'Name': 'niteshdmc-trail-log-bucket', 'CreationDate': datetime.datetime(2025, 5, 12, 9, 21, 22, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::niteshdmc-trail-log-bucket'}, {'Name': 'relmart-sales-project', 'CreationDate': datetime.datetime(2025, 10, 28, 11, 20, 46, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::relmart-sales-project'}]
2025-10-29 17:14:13.766 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 17:14:13.768 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 17:14:13.777 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 17:14:13.777 | INFO     | main:main:44 | Query unprocessed file:  select distinct file_name from
                                 relmart_db.product_staging_table
